Tamanho,Tempo (segundos)
1000,0.10662698745727539
2000,0.6587450504302979
3000,2.9109561443328857
4000,4.501840829849243
5000,8.92759108543396
6000,12.8231520652771
7000,24.244646072387695
8000,64.53756618499756
9000,56.42888593673706
10000,69.08032703399658
